"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Aug 04 13:05:24 MSK 2022","Thu Aug 04 13:05:36 MSK 2022","12437","","Tests","","Tests","clickAlert","Тест для алерта","Все тесты для алерта"
"passed","Thu Aug 04 13:05:36 MSK 2022","Thu Aug 04 13:05:41 MSK 2022","4866","","Tests","","Tests","click","Тест для кнопок","Все тесты для кнопок"
